Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Mikal Bridges,28,NYK,SF,56,56,2134,9.4,19.1,0.489,2.9,8.2,0.358,6.4,10.9,0.588,0.566,1.1,1.4,0.742,1.2,3,4.2,4.3,1.2,0.7,2,1.9,22.7,115,119,,bridgmi01
2,Anthony Edwards,23,MIN,SG,55,55,2022,12.4,28.2,0.439,5.6,13.7,0.411,6.7,14.5,0.465,0.538,6.7,8,0.838,1,6.7,7.8,6,1.6,0.9,4.6,2.5,37.1,112,111,,edwaran01
3,Josh Hart,29,NYK,SG,53,53,2003,7.4,13.3,0.556,1.5,4.3,0.337,5.9,9,0.66,0.61,3,3.7,0.812,2.9,9.7,12.6,7.5,2,0.5,2.6,3.5,19.2,131,113,,hartjo01
4,Jalen Brunson,28,NYK,PG,55,55,1931,12.7,25.8,0.491,3.2,8.2,0.394,9.4,17.6,0.536,0.553,8,9.8,0.82,0.6,3.4,4,10.5,1.3,0.1,3.4,3.1,36.6,125,119,,brunsja01
5,Jayson Tatum,26,BOS,PF,53,53,1926,12.3,27.2,0.454,4.9,13.8,0.357,7.4,13.4,0.553,0.544,6.9,8.7,0.796,0.8,11.1,11.9,7.7,1.6,0.7,3.8,2.9,36.5,117,109,,tatumja01
6,Domantas Sabonis,28,SAC,C,53,53,1911,10.7,17.8,0.6,1.4,3.2,0.452,9.2,14.6,0.633,0.641,4.4,5.8,0.749,5.5,14,19.5,8.4,0.8,0.5,4,4.7,27.1,129,114,,sabondo01
7,De'Aaron Fox,27,2TM,PG,52,52,1909,12,25.3,0.473,2.6,8.1,0.324,9.3,17.2,0.543,0.525,5.9,7.2,0.822,1.2,5.3,6.5,8.3,2,0.6,3.7,3.6,32.5,114,116,,foxde01
8,De'Aaron Fox,27,SAC,PG,45,45,1663,12,25.6,0.469,2.7,8.3,0.322,9.4,17.3,0.539,0.521,5.9,7.1,0.829,1.3,5.2,6.5,8,1.9,0.6,3.9,3.4,32.6,113,116,,foxde01
9,De'Aaron Fox,27,SAS,PG,7,7,246,11.6,23,0.504,2.4,6.9,0.343,9.2,16.1,0.573,0.556,6.1,7.9,0.775,0.6,5.5,6.1,10,2.9,0.4,2.9,4.7,31.7,122,114,,foxde01
10,Jalen Green,22,HOU,SG,57,57,1902,11.1,26,0.427,4.3,12,0.356,6.8,14,0.487,0.509,5,6,0.829,0.8,5.4,6.3,4.6,1.2,0.5,3.7,2.4,31.4,110,113,,greenja05
11,Trae Young,26,ATL,PG,52,52,1884,9.5,23.3,0.408,3.8,11.3,0.336,5.7,12,0.477,0.49,7.9,9.2,0.856,0.6,3.4,4,14.6,1.6,0.2,6.2,2.6,30.8,112,118,,youngtr01
12,Devin Booker,28,PHO,SG,50,50,1863,11.2,24.9,0.452,3.5,10.1,0.342,7.8,14.8,0.527,0.521,8.5,9.5,0.894,1.3,4,5.3,8.9,1.4,0.3,3.6,3.3,34.4,119,120,,bookede01
13,Tyler Herro,25,MIA,SG,52,52,1854,11.6,24.9,0.467,5.2,13.6,0.381,6.4,11.3,0.569,0.571,5,5.8,0.857,0.5,7.2,7.7,7.7,1.1,0.2,3.8,1.9,33.4,116,115,,herroty01
14,Keegan Murray,24,SAC,PF,53,53,1853,6.4,14.8,0.436,2.5,7.7,0.327,3.9,7,0.558,0.522,1.2,1.5,0.821,2.9,6.8,9.7,2,1.1,1.2,1.3,3.6,16.6,114,116,,murrake02
15,Christian Braun,23,DEN,SG,56,54,1847,8.4,14.6,0.574,1.4,3.8,0.367,7,10.8,0.647,0.622,3.4,4.1,0.823,1.9,5.4,7.3,3.2,1.6,0.8,1.4,3.2,21.5,132,116,,braunch01
16,Kelly Oubre Jr.,29,PHI,SF,53,50,1843,8,17.4,0.463,1.6,5.8,0.28,6.4,11.6,0.555,0.51,3.1,4,0.76,2.3,6.8,9.1,2.6,2.2,0.7,1.9,4.2,20.8,110,115,,oubreke01
17,Shai Gilgeous-Alexander,26,OKC,PG,54,54,1836,15.8,30.3,0.522,2.9,8.1,0.357,12.9,22.3,0.581,0.569,11.2,12.4,0.899,1.3,5.9,7.2,8.7,2.7,1.5,3.6,3.2,45.7,128,105,,gilgesh01
18,Nikola Jokić,29,DEN,C,51,51,1834,14.9,25.9,0.574,2.7,6.1,0.447,12.1,19.8,0.613,0.627,6.7,8.2,0.821,4.1,12.9,16.9,13.6,2.4,0.9,4.2,2.9,39.2,135,110,,jokicni01
19,DeMar DeRozan,35,SAC,SF,51,51,1833,10.9,22.3,0.491,1.4,4,0.351,9.5,18.3,0.522,0.522,6.5,7.5,0.869,0.7,4.5,5.2,5.1,1.3,0.6,1.8,2.6,29.7,121,118,,derozde01
