Player,Age,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,MPG,3PAr,FTr,TS%,AST/TOV,AST_Ratio,PPS,STL+BLK,ORB_Rate,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG
2022-2023 A.J. Green,23,35,7.3,17.3,0.424,6.1,14.5,0.419,1.2,2.8,0.45,0.6,0.6,0.6,1.0,0.8,5.4,6.2,3.0,0.8,0.0,1.2,4.3,21.3,121.0,115,9.857,0.838,0.035,0.606,2.5,0.138,1.213,0.8,0.129,0,0,0,0,1
2022-2023 AJ Griffin,19,72,8.4,18.1,0.465,3.4,8.8,0.39,5.0,9.3,0.536,0.56,1.4,1.6,0.894,1.3,3.9,5.2,2.5,1.4,0.4,1.4,3.0,21.7,116.0,119,19.458,0.486,0.088,0.577,1.786,0.11,1.154,1.7999999999999998,0.25,0,0,0,1,0
2022-2023 Aaron Gordon,27,68,10.2,18.1,0.564,1.4,4.1,0.347,8.8,14.0,0.628,0.603,4.5,7.5,0.608,3.9,6.7,10.6,4.8,1.3,1.2,2.3,3.1,26.4,124.0,115,30.221,0.227,0.414,0.617,2.087,0.168,1.234,2.5,0.368,0,1,0,0,0
2022-2023 Aaron Holiday,26,63,5.2,12.4,0.418,2.0,5.0,0.409,3.2,7.4,0.424,0.5,1.5,1.8,0.844,1.4,2.8,4.2,5.0,2.1,0.7,2.0,4.5,13.9,110.0,117,13.413,0.403,0.145,0.527,2.5,0.248,1.054,2.8,0.333,0,0,1,0,0
2022-2023 Aaron Nesmith,23,73,6.6,15.4,0.427,3.0,8.2,0.366,3.6,7.2,0.496,0.525,3.1,3.7,0.838,1.6,5.6,7.2,2.6,1.4,0.9,2.0,6.1,19.3,111.0,119,24.877,0.532,0.24,0.567,1.3,0.12,1.133,2.3,0.222,0,0,0,1,0
2022-2023 Aaron Wiggins,24,70,6.8,13.3,0.512,1.8,4.5,0.393,5.1,8.8,0.573,0.579,2.2,2.6,0.831,2.5,5.2,7.7,2.9,1.4,0.5,2.0,4.0,17.5,119.0,116,18.529,0.338,0.195,0.606,1.45,0.15,1.212,1.9,0.325,0,0,0,0,1
2022-2023 Admiral Schofield,25,37,5.9,13.1,0.451,2.6,7.9,0.324,3.3,5.1,0.646,0.549,2.3,2.5,0.913,2.5,4.2,6.6,3.3,0.9,0.5,1.7,6.5,16.6,120.0,117,12.189,0.603,0.191,0.585,1.941,0.172,1.169,1.4,0.373,0,1,0,0,0
2022-2023 Al Horford,36,63,5.8,12.1,0.476,3.7,8.2,0.446,2.1,3.9,0.539,0.627,0.4,0.5,0.714,1.9,8.0,9.9,4.8,0.8,1.5,0.9,3.1,15.6,133.0,112,30.508,0.678,0.041,0.633,5.333,0.266,1.266,2.3,0.192,1,0,0,0,0
2022-2023 Alec Burks,31,51,8.6,19.8,0.436,4.3,10.3,0.414,4.4,9.5,0.459,0.544,6.6,8.1,0.814,0.8,6.0,6.8,4.9,1.6,0.3,2.5,4.2,28.2,120.0,119,22.0,0.52,0.409,0.603,1.96,0.159,1.207,1.9,0.118,0,0,0,0,1
2022-2023 Aleksej Pokusevski,21,34,7.3,16.9,0.434,2.6,7.0,0.365,4.7,9.8,0.483,0.51,1.5,2.4,0.629,3.0,7.7,10.8,4.3,1.4,2.9,2.9,3.9,18.7,105.0,112,20.618,0.414,0.142,0.521,1.483,0.171,1.041,4.3,0.28,0,1,0,0,0
2022-2023 Alex Caruso,28,67,4.0,8.8,0.455,1.7,4.7,0.364,2.3,4.2,0.556,0.551,1.8,2.3,0.808,1.3,4.8,6.1,6.0,3.0,1.4,2.4,4.9,11.6,115.0,109,23.507,0.534,0.261,0.591,2.5,0.329,1.182,4.4,0.213,0,0,1,0,0
2022-2023 Alperen Şengün,20,75,9.9,17.8,0.553,0.4,1.3,0.333,9.4,16.6,0.57,0.565,4.6,6.4,0.715,5.4,9.7,15.1,6.5,1.6,1.6,4.3,5.8,24.8,118.0,117,28.947,0.073,0.36,0.601,1.512,0.207,1.203,3.2,0.358,1,0,0,0,0
2022-2023 Amir Coffey,25,50,4.4,11.4,0.386,0.9,3.1,0.275,3.5,8.2,0.429,0.424,3.8,4.9,0.778,1.3,2.8,4.2,4.2,0.5,0.4,1.6,3.9,13.5,108.0,120,12.5,0.272,0.43,0.498,2.625,0.217,0.996,0.9,0.317,0,0,0,1,0
2022-2023 Andre Drummond,29,67,9.5,15.7,0.606,0.0,0.2,0.0,9.5,15.5,0.613,0.606,3.8,7.2,0.536,7.9,17.6,25.5,1.9,2.6,1.5,4.3,6.7,22.9,113.0,103,12.672,0.013,0.459,0.607,0.442,0.076,1.214,4.1,0.31,1,0,0,0,0
2022-2023 Andrew Nembhard,23,75,6.5,14.7,0.441,2.1,6.0,0.35,4.4,8.7,0.504,0.512,1.1,1.4,0.79,0.8,3.8,4.6,7.8,1.6,0.3,2.9,4.1,16.2,108.0,120,27.64,0.408,0.095,0.529,2.69,0.3,1.058,1.9,0.174,0,0,0,0,1
2022-2023 Andrew Wiggins,27,37,9.9,21.0,0.473,3.5,8.9,0.396,6.4,12.1,0.53,0.557,1.7,2.9,0.611,2.4,5.0,7.4,3.4,1.8,1.1,1.9,4.2,25.1,113.0,114,32.162,0.424,0.138,0.563,1.789,0.123,1.127,2.9000000000000004,0.324,0,0,0,1,0
2022-2023 Anfernee Simons,23,62,10.5,23.4,0.447,4.8,12.6,0.377,5.7,10.8,0.528,0.548,3.6,4.0,0.894,0.4,3.2,3.6,5.7,0.9,0.3,2.9,3.2,29.3,113.0,123,35.016,0.538,0.171,0.582,1.966,0.169,1.165,1.2,0.111,0,0,0,0,1
2022-2023 Anthony Davis,29,56,13.5,23.9,0.563,0.5,1.8,0.257,13.0,22.1,0.589,0.573,8.7,11.0,0.784,4.9,12.6,17.5,3.7,1.5,2.8,3.0,3.6,36.1,124.0,108,34.0,0.075,0.46,0.628,1.233,0.104,1.256,4.3,0.28,1,0,0,0,0
2022-2023 Anthony Edwards,21,79,11.8,25.8,0.459,3.6,9.7,0.369,8.3,16.1,0.513,0.528,5.3,7.1,0.756,0.8,6.9,7.7,5.9,2.1,1.0,4.3,3.1,32.5,106.0,113,35.975,0.376,0.275,0.562,1.372,0.151,1.124,3.1,0.104,0,0,0,0,1
2022-2023 Anthony Gill,30,59,5.5,10.3,0.538,0.3,2.3,0.138,5.2,8.0,0.65,0.553,3.8,5.2,0.731,2.9,4.8,7.7,2.7,0.5,0.9,1.2,5.5,15.2,127.0,119,10.576,0.223,0.505,0.604,2.25,0.164,1.207,1.4,0.377,0,1,0,0,0
2022-2023 Anthony Lamb,25,62,5.8,12.4,0.471,2.9,7.9,0.367,3.0,4.5,0.652,0.588,1.8,2.4,0.767,2.2,6.3,8.5,3.8,1.1,0.8,2.1,5.3,16.4,119.0,115,19.274,0.637,0.194,0.609,1.81,0.196,1.219,1.9,0.259,0,0,0,1,0
2022-2023 Austin Reaves,24,64,6.7,12.6,0.529,2.2,5.6,0.398,4.4,7.0,0.631,0.616,5.9,6.8,0.864,0.8,4.1,5.0,5.5,0.8,0.5,2.5,2.8,21.4,129.0,117,28.797,0.444,0.54,0.686,2.2,0.233,1.372,1.3,0.163,0,0,0,0,1
2022-2023 Austin Rivers,30,52,4.3,9.8,0.435,2.0,5.8,0.35,2.2,4.0,0.558,0.538,1.4,1.8,0.769,0.2,3.6,3.9,3.5,1.3,0.2,1.1,3.7,11.9,115.0,117,19.538,0.592,0.184,0.562,3.182,0.23,1.123,1.5,0.053,0,0,0,0,1
2022-2023 Ayo Dosunmu,23,80,6.5,13.2,0.493,1.4,4.4,0.312,5.2,8.8,0.583,0.545,1.5,1.9,0.805,1.0,4.1,5.1,4.8,1.4,0.6,2.3,4.2,16.0,109.0,115,26.225,0.333,0.144,0.57,2.087,0.227,1.14,2.0,0.196,0,0,0,0,1
2022-2023 Bam Adebayo,25,75,11.6,21.4,0.54,0.0,0.2,0.083,11.5,21.2,0.545,0.541,6.2,7.7,0.806,3.5,9.7,13.2,4.6,1.7,1.2,3.6,4.0,29.3,115.0,111,34.64,0.009,0.36,0.591,1.278,0.139,1.182,2.9,0.265,1,0,0,0,0
2022-2023 Ben Simmons,26,42,5.9,10.4,0.566,0.0,0.1,0.0,5.9,10.3,0.571,0.566,1.1,2.5,0.439,1.8,9.9,11.6,11.3,2.4,1.1,4.3,6.1,12.9,110.0,110,26.31,0.01,0.24,0.561,2.628,0.417,1.122,3.5,0.154,0,0,1,0,0
2022-2023 Bennedict Mathurin,20,78,8.8,20.3,0.434,2.1,6.6,0.323,6.7,13.7,0.488,0.487,8.0,9.7,0.828,1.9,4.9,6.8,2.5,1.0,0.3,3.2,3.5,27.8,109.0,121,28.487,0.325,0.478,0.566,0.781,0.083,1.132,1.3,0.279,0,0,0,0,1
2022-2023 Bismack Biyombo,30,61,6.7,11.5,0.578,0.0,0.0,0.0,6.7,11.5,0.578,0.578,1.4,3.9,0.357,5.0,9.6,14.5,3.1,1.0,4.9,2.9,6.4,14.7,109.0,108,14.328,0.0,0.339,0.556,1.069,0.161,1.112,5.9,0.342,1,0,0,0,0
2022-2023 Blake Griffin,33,41,5.4,11.1,0.485,2.0,5.7,0.348,3.4,5.5,0.625,0.573,1.8,2.7,0.656,4.0,9.3,13.3,5.2,1.2,0.8,1.9,6.4,14.6,127.0,111,13.878,0.514,0.243,0.594,2.737,0.268,1.188,2.0,0.301,1,0,0,0,0
2022-2023 Blake Wesley,19,37,4.9,15.2,0.321,1.4,3.7,0.385,3.5,11.5,0.301,0.367,1.8,3.1,0.591,0.8,4.9,5.7,6.9,1.8,0.4,4.6,4.7,13.0,80.0,120,18.081,0.243,0.204,0.392,1.5,0.246,0.785,2.2,0.14,0,0,0,0,1
